Timestamp,Location,Country,Temperature (°C),Feels Like,Humidity,Pressure,Wind Speed,Wind Direction,Condition,Cloud,Visibility,UV,CO,NO2,O3,PM2.5,PM10
2026-07-21 11:27:53,Jabalpur,India,28.2,34.0,84,1005.0,13.0,W,Mist,75,4.0,1.6,213.0,3.7,78.0,3.9,4.1
2026-07-21 15:58:24,Kolkata,India,30.3,37.8,79,1001.0,17.6,SSE,Mist,75,5.0,0.6,413.0,9.2,89.0,13.8,14.1
2026-07-21 15:58:26,Siliguri,Nepal,21.8,16.7,88,1005.0,5.8,SSW,Light rain shower,52,10.0,1.3,218.0,0.7,87.0,3.1,3.1
2026-07-21 15:58:27,Srinagar,India,23.9,18.7,73,1003.0,5.8,S,Light rain shower,62,10.0,2.7,654.0,7.5,93.0,7.3,7.5
2026-07-21 15:58:30,Thanesar,India,26.1,24.6,91,1001.0,13.7,ESE,Light rain,100,9.0,0.0,469.0,19.4,66.0,33.9,39.7
2026-07-21 15:58:32,Rajkot,India,31.8,35.2,55,1002.0,32.0,WSW,Patchy rain nearby,100,10.0,3.4,104.0,2.3,73.0,14.8,32.6
2026-07-21 15:58:33,Kanpur,India,33.9,39.1,52,1000.0,7.6,SE,Patchy light drizzle,68,5.0,3.4,257.0,5.5,119.0,8.2,8.4
2026-07-21 15:58:35,Ranchi,India,26.4,29.6,84,1005.0,10.8,ESE,Mist,75,2.5,2.3,262.0,15.0,67.0,9.4,9.6
2026-07-21 15:58:37,Warangal,India,29.7,31.9,58,1006.0,19.8,WNW,Patchy rain nearby,76,10.0,1.6,161.0,4.8,54.0,10.4,16.7
2026-07-21 15:58:38,Amritsar,India,24.3,26.0,100,1003.0,26.6,ESE,Moderate or heavy rain with thunder,100,1.0,3.3,362.0,5.3,108.0,22.8,43.7
2026-07-21 15:58:40,Loni,India,30.3,39.2,84,1000.0,9.4,NE,Moderate or heavy rain with thunder,75,3.5,3.6,299.0,10.5,144.0,14.8,15.0
2026-07-21 15:58:41,Lucknow,India,31.1,35.0,79,1000.0,13.3,ESE,Mist,100,4.0,2.9,332.0,3.4,130.0,14.1,14.3
2026-07-21 15:58:43,Bhopal,India,25.2,28.0,89,1004.0,11.2,NW,Mist,75,4.0,0.6,245.0,6.4,59.0,5.6,6.0
2026-07-21 15:58:44,Nanded,India,29.2,31.2,59,1006.0,18.0,WSW,Cloudy,79,10.0,1.0,155.0,4.0,62.0,9.5,15.3
2026-07-21 15:58:46,Jamnagar,India,31.2,35.9,62,1001.0,35.6,WSW,Patchy rain nearby,100,10.0,4.1,97.0,1.8,65.0,13.0,29.0
2026-07-21 15:58:47,Firozabad,India,29.1,31.5,89,1000.0,3.6,WNW,Partly cloudy,75,3.0,1.8,175.0,1.5,128.0,11.2,19.0
2026-07-21 15:58:49,Akola,India,30.5,32.3,52,1004.0,22.0,W,Cloudy,86,10.0,0.6,133.0,4.2,67.0,5.2,6.4
2026-07-21 15:58:50,Meerut,India,26.3,26.2,91,1002.0,3.6,NE,Patchy rain nearby,91,10.0,4.5,289.0,4.4,132.0,10.6,10.6
2026-07-21 15:58:52,Mysuru,India,32.1,23.4,37,1008.0,23.8,WNW,Partly Cloudy,46,10.0,3.1,129.0,2.6,71.0,6.9,13.4
2026-07-21 15:58:54,Bhilai,India,23.9,16.1,94,1004.0,19.4,W,Light rain,100,9.0,0.4,921.0,29.6,44.0,21.7,22.3
2026-07-21 15:58:55,Chennai,India,36.3,47.5,57,1005.0,21.2,ESE,Partly cloudy,75,6.0,1.8,276.0,5.0,136.0,26.3,39.2
2026-07-21 15:58:56,Varanasi,India,31.5,36.9,63,1001.0,16.2,SSE,Patchy rain nearby,83,10.0,0.9,485.0,2.3,140.0,17.6,19.2
2026-07-21 15:58:58,Salem,India,35.5,29.7,34,1006.0,9.7,SSW,Partly Cloudy,47,10.0,3.8,134.0,2.6,104.0,14.6,28.6
2026-07-21 15:59:00,Guwahati,India,31.2,40.9,84,1002.0,4.3,W,Mist,75,3.0,2.3,199.0,2.4,81.0,6.2,6.4
2026-07-21 15:59:01,Bhayandar,India,28.1,31.3,84,1005.0,33.5,SW,Light rain,100,2.1,3.9,198.0,8.0,56.0,17.6,34.3
2026-07-21 15:59:05,Ludhiana,India,25.6,20.7,89,1002.0,18.4,ESE,Patchy light drizzle,64,5.0,3.6,385.0,7.9,118.0,23.3,23.9
2026-07-21 15:59:07,Ambattur,India,36.3,39.8,57,1005.0,4.3,E,Partly cloudy,75,6.0,1.4,198.0,6.0,95.0,16.5,32.1
2026-07-21 15:59:08,Malegaon,India,31.0,32.7,50,1004.0,32.8,WSW,Patchy rain nearby,74,10.0,3.0,111.0,3.0,51.0,4.8,7.9
2026-07-21 15:59:10,Nagpur,India,26.4,30.2,89,1004.0,12.2,WSW,Light rain,100,2.0,0.4,227.0,10.5,56.0,10.2,13.2
2026-07-21 15:59:11,Bengaluru,India,29.2,31.4,58,1013.0,18.0,W,Partly cloudy,50,6.0,3.5,277.0,5.7,67.0,8.2,15.1
2026-07-21 15:59:13,Patna,India,32.2,37.3,67,1000.0,15.5,ESE,Mist,75,5.0,3.1,258.0,4.2,136.0,13.9,14.4
2026-07-21 15:59:14,Delhi,Canada,23.2,25.3,75,1005.0,24.8,SSW,Clear,0,10.0,0.0,205.0,4.5,101.0,10.4,10.5
2026-07-21 15:59:16,Hyderabad,India,28.2,29.0,66,1009.0,26.3,WNW,Mist,75,4.0,2.0,286.0,3.8,79.0,11.8,26.0
2026-07-21 15:59:17,Coimbatore,India,31.4,32.1,55,1010.0,22.7,WSW,Partly cloudy,50,6.0,4.6,147.0,2.5,70.0,7.9,11.4
2026-07-21 15:59:18,Indore,India,26.4,27.1,89,1005.0,24.1,W,Light rain,100,5.0,1.0,208.0,7.5,55.0,10.9,17.2
2026-07-21 15:59:20,Visakhapatnam,India,31.5,37.0,64,1002.0,19.4,SW,Patchy rain nearby,94,10.0,3.0,465.0,15.8,78.0,14.4,17.3
2026-07-21 15:59:21,Pune,India,23.9,15.6,84,1007.0,22.3,WSW,Light rain shower,100,10.0,2.4,165.0,4.7,52.0,4.8,8.7
2026-07-21 15:59:23,Ghaziabad,India,30.3,39.2,84,1000.0,3.6,ESE,Moderate or heavy rain with thunder,75,3.5,3.4,350.0,4.4,132.0,10.6,10.6
2026-07-21 15:59:24,Kota Bharu,Malaysia,32.0,42.0,63,1008.0,6.8,SE,Patchy rain nearby,25,10.0,0.8,191.0,3.0,96.0,7.4,9.2
2026-07-21 15:59:26,Aurangabad,India,24.3,25.5,94,1007.0,25.6,W,Light drizzle,75,3.0,3.4,132.0,2.9,71.0,7.8,13.4
2026-07-21 15:59:27,Jaipur,India,28.4,34.0,84,1002.0,8.6,E,Mist,100,3.0,0.5,268.0,6.0,94.0,11.5,23.7
2026-07-21 15:59:29,Bhavnagar,India,28.4,30.2,84,1002.0,23.0,SW,Moderate rain at times,75,5.0,1.0,115.0,2.8,62.0,13.3,26.8
2026-07-21 15:59:30,Ulhasnagar,India,28.1,30.9,84,1005.0,28.1,SW,Light rain,100,2.1,4.1,198.0,11.6,56.0,17.0,28.3
2026-07-21 15:59:31,Surat,India,28.5,33.3,80,1004.0,31.3,SW,Patchy light rain,77,9.0,2.2,107.0,0.8,56.0,11.4,26.7
2026-07-21 15:59:33,Amravati,India,29.0,30.9,59,1004.0,19.1,W,Patchy rain nearby,100,10.0,0.6,127.0,5.2,64.0,5.6,7.0
2026-07-21 15:59:35,Erode,India,37.0,31.1,29,1005.0,9.4,S,Partly Cloudy,32,10.0,3.5,152.0,2.6,98.0,11.6,21.7
2026-07-21 15:59:36,Bareilly,India,31.9,38.1,64,1001.0,13.7,E,Light rain,86,9.0,3.6,319.0,3.6,124.0,11.8,11.8
2026-07-21 15:59:37,Sangli,Iran,25.1,25.6,61,1017.0,25.9,WNW,Partly cloudy,75,10.0,8.5,106.0,0.6,86.0,5.7,15.5
2026-07-21 15:59:39,Rourkela,India,27.3,30.9,84,1002.0,6.5,SW,Light rain shower,100,10.0,0.2,377.0,12.8,86.0,9.7,10.1
2026-07-21 15:59:40,Ujjain,India,26.4,28.2,89,1005.0,17.3,WNW,Light rain,100,5.0,1.2,197.0,4.5,60.0,9.4,15.0
2026-07-21 15:59:42,Gorakhpur,India,34.4,41.7,80,1001.0,20.9,ESE,Light rain,50,6.0,2.5,272.0,3.0,126.0,18.9,19.6
2026-07-21 15:59:43,Jammu,India,25.5,20.4,84,1003.0,15.8,E,Light rain shower,67,10.0,1.0,305.0,9.7,94.0,11.7,17.1
2026-07-21 15:59:45,Vadodara,India,29.6,33.0,65,1003.0,23.4,SSW,Patchy light drizzle,77,5.0,2.6,173.0,5.4,65.0,14.0,30.5
2026-07-21 15:59:46,Cuttack,India,30.2,37.0,79,1000.0,9.0,SW,Mist,75,4.5,0.4,278.0,7.8,99.0,12.6,13.6
2026-07-21 15:59:48,Bhubaneswar,India,30.2,39.3,79,1000.0,10.1,SSW,Mist,75,4.5,0.5,268.0,7.8,99.0,12.6,13.6
2026-07-21 15:59:49,Jhansi,India,28.0,31.4,76,1001.0,16.9,SW,Light rain shower,59,10.0,3.5,163.0,1.6,129.0,19.0,39.3
2026-07-21 15:59:51,Kalyan,India,28.1,30.7,84,1005.0,27.7,SW,Light rain,100,2.1,3.9,211.0,11.6,56.0,17.0,28.3
2026-07-21 15:59:52,Mumbai,India,28.1,33.2,84,1005.0,34.9,SW,Light rain,100,2.1,4.9,130.0,4.7,49.0,16.9,36.0
2026-07-21 15:59:53,Tiruchirappalli,India,38.1,39.6,38,1005.0,16.6,WNW,Partly cloudy,50,6.0,3.9,116.0,2.1,82.0,10.8,21.8
2026-07-21 15:59:55,Mumbai,India,28.1,33.2,84,1005.0,34.9,SW,Light rain,100,2.1,4.9,130.0,4.7,49.0,16.9,36.0
2026-07-21 15:59:56,Gwalior,India,32.1,37.8,84,1001.0,10.8,WNW,Moderate or heavy rain with thunder,75,5.0,4.1,168.0,1.0,120.0,14.7,25.5
2026-07-21 15:59:59,Mangalore,India,29.4,36.6,84,1010.0,11.9,WNW,Overcast,100,6.0,5.0,94.0,1.1,57.0,8.5,15.4
2026-07-21 16:00:01,Solapur,India,30.7,31.7,48,1006.0,31.3,W,Partly Cloudy,47,10.0,1.9,130.0,1.8,66.0,11.0,27.4
2026-07-21 16:00:03,Noida,India,30.3,38.2,84,1000.0,3.6,N,Moderate or heavy rain with thunder,75,3.5,3.0,509.0,8.5,135.0,12.8,13.6
2026-07-21 16:00:04,Durgapur,India,32.0,37.6,62,1001.0,16.6,E,Light rain shower,90,10.0,0.7,240.0,16.0,80.0,10.8,10.8
2026-07-21 16:00:05,Kochi,India,28.1,31.2,73,1010.0,16.6,WNW,Sunny,15,10.0,4.8,112.0,2.8,64.0,8.3,12.4
2026-07-21 16:00:07,Faridabad,India,30.3,37.8,84,1000.0,3.6,W,Moderate or heavy rain with thunder,75,3.5,2.7,394.0,8.5,135.0,12.8,13.6
2026-07-21 16:00:08,Thiruvananthapuram,India,30.3,34.3,75,1009.0,22.3,WNW,Partly cloudy,50,6.0,4.3,122.0,3.0,66.0,9.0,14.2
2026-07-21 16:00:10,Jalgaon,India,30.7,32.6,52,1004.0,18.4,WSW,Overcast,98,10.0,0.6,122.0,2.9,69.0,4.8,6.0
2026-07-21 16:00:11,Aligarh,India,29.7,34.8,72,1001.0,9.0,NNW,Light rain shower,93,10.0,1.8,206.0,2.8,144.0,10.9,12.5
2026-07-21 16:00:13,Tiruppur,India,36.0,28.3,31,1006.0,19.1,SW,Sunny,15,10.0,4.2,145.0,2.6,94.0,11.1,19.9
2026-07-21 16:00:14,Madurai,India,40.2,43.1,30,1006.0,3.6,W,Partly cloudy,50,6.0,4.1,155.0,2.4,110.0,14.5,31.5
2026-07-21 16:00:16,Jalandhar,India,27.6,30.8,78,1001.0,20.9,SE,Patchy rain nearby,68,10.0,1.1,431.0,8.1,120.0,19.1,20.4
2026-07-21 16:00:17,Agra,India,29.1,32.1,89,1000.0,10.8,NW,Partly cloudy,75,3.0,1.7,255.0,2.6,142.0,14.4,23.2
2026-07-21 16:00:19,Dehradun,India,22.3,17.0,96,1005.0,6.5,NNE,Light rain,87,9.0,0.8,290.0,2.1,114.0,6.2,6.3
2026-07-21 16:00:20,Howrah,India,30.3,36.4,79,1001.0,17.3,SSE,Mist,75,5.0,0.6,428.0,9.2,89.0,13.8,14.1
2026-07-21 16:00:22,Jabalpur,India,30.2,42.1,75,1002.0,17.3,W,Light rain,75,5.0,1.1,186.0,2.4,94.0,3.8,4.4
2026-07-21 16:00:23,Belagavi,India,25.0,16.2,69,1010.0,24.5,WSW,Patchy rain nearby,57,10.0,1.7,110.0,2.8,49.0,6.5,11.7
2026-07-21 16:00:24,Raipur,India,23.9,16.1,94,1004.0,19.8,W,Light rain,100,9.0,0.5,582.0,29.6,44.0,21.7,22.3
2026-07-21 16:00:26,Kolhapur,India,26.8,27.2,66,1009.0,32.8,W,Patchy rain nearby,56,10.0,3.3,130.0,2.7,52.0,7.8,14.4
2026-07-21 16:00:27,Bhiwandi,India,28.1,30.5,84,1005.0,28.8,SW,Light rain,100,2.1,4.0,232.0,11.6,56.0,17.0,28.3
2026-07-21 16:00:29,Ahmedabad,India,27.3,30.7,79,1001.0,19.1,SSW,Mist,100,3.0,1.5,156.0,6.1,83.0,21.0,43.7
2026-07-21 16:00:30,Dhanbad,India,29.3,33.6,71,1002.0,10.4,E,Light rain,87,9.0,2.3,410.0,6.3,90.0,7.7,7.7
2026-07-21 16:00:32,Ajmer,India,31.4,33.4,51,1001.0,8.6,SW,Patchy rain nearby,61,10.0,1.0,141.0,2.2,99.0,19.1,41.8
2026-07-21 16:00:33,Vijayawada,India,32.2,34.0,56,1004.0,22.0,WNW,Overcast,100,6.0,2.2,142.0,3.1,81.0,19.0,39.9
2026-07-21 16:00:35,Hubli,India,28.0,28.9,55,1009.0,30.2,W,Patchy rain nearby,100,10.0,3.6,109.0,2.1,57.0,5.2,9.9
2026-07-21 16:00:36,Jodhpur,India,37.5,28.6,34,998.0,25.6,SSW,Dust haze,45,10.0,4.6,119.0,1.0,89.0,26.8,95.7
2026-07-21 16:00:38,Chandigarh,India,26.4,26.4,80,1002.0,5.8,SE,Patchy rain nearby,81,10.0,0.5,418.0,8.0,124.0,17.3,17.4
2026-07-21 16:00:39,Guntur,India,32.2,33.8,56,1004.0,22.7,WNW,Overcast,100,6.0,2.8,134.0,2.4,82.0,18.4,40.6
2026-07-21 16:00:40,Asansol,India,31.0,36.1,65,1001.0,15.1,E,Light rain shower,100,10.0,1.5,277.0,18.6,79.0,12.0,12.1
2026-07-21 16:00:42,Saharanpur,India,24.2,17.5,94,1003.0,13.7,NE,Light rain shower,99,10.0,1.6,323.0,2.4,118.0,11.5,11.5
2026-07-21 16:00:43,Nellore,India,37.2,28.5,31,1004.0,24.1,WNW,Sunny,17,10.0,3.5,121.0,2.9,92.0,17.2,35.9
2026-07-21 16:00:45,Bikaner,India,39.3,31.1,30,997.0,21.6,SSW,Sunny,19,10.0,5.1,116.0,0.6,87.0,27.0,86.1
2026-07-21 16:00:46,Jamshedpur,India,30.4,41.1,79,1001.0,3.6,NNE,Mist,75,5.0,1.1,322.0,11.8,86.0,10.7,10.9
2026-07-21 16:00:48,Vasai,India,28.1,31.6,84,1005.0,34.2,SW,Light rain,100,2.1,4.0,107.0,8.0,56.0,17.6,34.3
2026-07-21 16:00:49,Tirunelveli,India,37.6,30.1,29,1006.0,17.6,NW,Sunny,12,10.0,4.3,114.0,2.2,84.0,12.0,16.9
